position_id,position_name
1,"Accountant I"
2,"Administrative Assistant"
3,"Area Sales Manager"
4,"BI Developer"
5,"BI Director"
6,CIO
7,"Data Architect"
8,"Database Administrator"
9,"Data Analyst"
10,"Director of Operations"
11,"Director of Sales"
12,"IT Director"
13,"IT Manager"
14,"IT Support"
15,"Network Engineer"
16,"President & CEO"
17,"Production Manager"
18,"Production Technician I"
19,"Production Technician II"
20,"Sales Manager"
21,"Senior BI Developer"
22,"Shared Services Manager"
23,"Software Engineer"
24,"Software Engineering Manager"
25,"Sr. Accountant"
26,"Sr. DBA"
27,"Sr. Network Engineer"
28,"Principal Data Architect"
29,"Enterprise Architect"
30,
